Broker,Year,Period_Type,Period_Number,Market,Submarket,Secondary Submarket,Property Type,Inventory SF,Vacancy Q,Net Absorption Q,Under Construction Q,Asking Rent Q,Delivered Q,Leasing Activity Q
CBRE,2022,Q,1,Broward,Southwest Broward,,Industrial,17008129,0.061,113332,0,10.52,,
CBRE,2022,Q,1,Broward,Sunrise,,Industrial,5828397,0.024,-55200,0,12.24,,
CBRE,2022,Q,1,Broward,Grand Total,,Industrial,102526924,0.042,630616,1205698,10.86,,
CBRE,2022,Q,1,Northern Virginia,City of Alexandria,,Warehouse,3180114,0.077,-55998,,15.28,,
CBRE,2022,Q,1,Northern Virginia,Arlington County,,Warehouse,400784,,,,,,
CBRE,2022,Q,1,Northern Virginia,Fairfax County,,Warehouse,19388980,0.057,-54955,200372,16.27,,
CBRE,2022,Q,1,Northern Virginia,Loudoun County,,Warehouse,13155733,0.016,55760,432920,17.92,,
CBRE,2022,Q,1,Northern Virginia,Prince William County,,Warehouse,13760105,0.034,171952,,15.78,,
CBRE,2022,Q,1,Northern Virginia,Total,,Warehouse,49885716,0.039,116759,633292,16.49,,
CBRE,2022,Q,1,Raleigh Durham,West Raleigh,,Warehouse,1057596,0.029,0,0,12.59,,
CBRE,2022,Q,1,Raleigh Durham,US 70/Glenwood Avenue,,Warehouse,1235908,0,0,0,8.2,,
CBRE,2022,Q,1,Raleigh Durham,Six Forks Road / Falls,,Warehouse,2489117,0.012,-1500,0,7.52,,
CBRE,2022,Q,1,Raleigh Durham,US 1/Capital Boulevard,,Warehouse,3784137,0.037,-22958,0,9.1,,
CBRE,2022,Q,1,Raleigh Durham,Eastern Wake,,Warehouse,17626109,0.015,200602,1762087,6.94,,
CBRE,2022,Q,1,Raleigh Durham,Southern Wake,,Warehouse,3666253,0.083,-40000,234000,7.67,,
CBRE,2022,Q,1,Raleigh Durham,Cary,,Warehouse,1224925,0.156,6217,0,13.51,,
CBRE,2022,Q,1,Raleigh Durham,RTP/I-40 Corridor,,Warehouse,14583252,0.004,80578,1110297,7.19,,
CBRE,2022,Q,1,Raleigh Durham,North Durham,,Warehouse,3119432,0,0,0,6.17,,
CBRE,2022,Q,1,Raleigh Durham,South Durham,,Warehouse,2867431,0.009,0,0,5.5,,
CBRE,2022,Q,1,Raleigh Durham,Orange County,,Warehouse,2305009,0.024,11600,0,5.61,,
CBRE,2022,Q,1,Raleigh Durham,Johnston County,,Warehouse,9497132,0.002,13428,135000,5.22,,
CBRE,2022,Q,1,Raleigh Durham,US 1/64 West Corridor,,Warehouse,1791917,0.065,9652,0,5.73,,
CBRE,2022,Q,1,Raleigh Durham,Warehouse Totals,,Warehouse,64727750,0.019,257619,3041329,6.97,,
CBRE,2022,Q,1,Savannah,Savannah Market,,Overall,88028901,0.012,1830498,21282226,5.48,1297247,
CBRE,2022,Q,1,Tampa,Hillsborough County,East Tampa Area,Industrial,76467065,0.048,643475,3593074,7.2,,
